cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
foothill,UCD+UCI+UCLA+UCR+UCSD,5,IGETC,success,6,97.5,False,18,18,19.5,19.5,19.5,3,
foothill,UCB+UCI+UCLA+UCR+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCI+UCLA+UCR+UCSC+UCSD,5,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
foothill,UCI+UCLA+UCM+UCR+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCD+UCI+UCLA+UCSB+UCSD,5,IGETC,success,6,97.5,False,18,18,19.5,19.5,19.5,3,
foothill,UCB+UCI+UCLA+UCSB+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCI+UCLA+UCSB+UCSC+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCI+UCLA+UCM+UCSB+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCB+UCD+UCI+UCLA+UCSD,5,IGETC,success,6,97.5,False,18,18,19.5,19.5,19.5,3,
foothill,UCD+UCI+UCLA+UCSC+UCSD,5,IGETC,success,6,94.5,False,18,18,18.0,19.5,18,3,
foothill,UCD+UCI+UCLA+UCM+UCSD,5,IGETC,success,6,97.5,False,18,18,19.5,19.5,19.5,3,
foothill,UCB+UCI+UCLA+UCSC+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCB+UCI+UCLA+UCM+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCI+UCLA+UCM+UCSC+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCD+UCLA+UCR+UCSB+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCB+UCLA+UCR+UCSB+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCLA+UCR+UCSB+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCLA+UCM+UCR+UCSB+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCB+UCD+UCLA+UCR+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCD+UCLA+UCR+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCD+UCLA+UCM+UCR+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCB+UCLA+UCR+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCB+UCLA+UCM+UCR+UCSD,5,IGETC,success,5,79.5,False,18,19.5,18,18,6,0,
foothill,UCLA+UCM+UCR+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCB+UCD+UCLA+UCSB+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCD+UCLA+UCSB+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCD+UCLA+UCM+UCSB+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCB+UCLA+UCSB+UCSC+UCSD,5,IGETC,success,5,79.5,False,18,19.5,18,18,6,0,
foothill,UCB+UCLA+UCM+UCSB+UCSD,5,IGETC,success,5,79.5,False,18,19.5,18,18,6,0,
foothill,UCLA+UCM+UCSB+UCSC+UCSD,5,IGETC,success,5,79.5,False,18,19.5,18,18,6,0,
foothill,UCB+UCD+UCLA+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCB+UCD+UCLA+UCM+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCD+UCLA+UCM+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCB+UCLA+UCM+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCD+UCI+UCR+UCSB+UCSD,5,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
foothill,UCB+UCI+UCR+UCSB+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCI+UCR+UCSB+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCI+UCM+UCR+UCSB+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCB+UCD+UCI+UCR+UCSD,5,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
foothill,UCD+UCI+UCR+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCD+UCI+UCM+UCR+UCSD,5,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
foothill,UCB+UCI+UCR+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCB+UCI+UCM+UCR+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
